conc100_apr_2025,iad_12_meses,previsto,residuo
9.0,900.0,104.16869103419211,795.8313089658079
3.0,367.0,104.03129071932375,262.96870928067625
27.0,800.0,104.5808919787972,695.4191080212028
2.263,559.0,104.01441338064743,454.9855866193526
4.67,911.0,104.06953380696211,806.9304661930379
16.0,523.0,104.32899140153853,418.67100859846147
5.5,936.0,104.0885408505189,831.9114591494811
0.0,600.0,103.96259056188957,496.03740943811044
0.0,682.0,103.96259056188957,578.0374094381104
25.0,654.0,104.53509187384107,549.4649081261589
1.0,300.0,103.98549061436763,196.01450938563238
121.0,667.0,106.73349691173485,560.2665030882652
1.981,766.0,104.0079555658486,661.9920444341514
1.064,332.0,103.98695621772623,228.01304378227377
6.0,600.0,104.09999087675793,495.90000912324206
2.795,452.0,104.02659620856575,347.97340379143424
3.247,399.0,104.03694703228584,294.96305296771413
2.722,646.0,104.02492450473486,541.9750754952652
34.0,943.0,104.7411923461436,838.2588076538564
83.0,680.0,105.86329491756855,574.1367050824315
6.0,400.0,104.09999087675793,295.90000912324206
186.0,427.0,108.22200032280874,318.77799967719125
2.729,746.0,104.0250848051022,641.9749151948978
183.0,365.0,108.15330016537456,256.84669983462544
201.0,722.0,108.56550110997965,613.4344988900203
1.374,308.0,103.99405523399443,204.00594476600557
724.0,402.0,120.54222855600507,281.45777144399494
386.0,368.0,112.80201081842077,255.19798918157923
53.0,518.0,105.17629334322676,412.82370665677325
104.0,330.0,106.34419601960782,223.6558039803922
146.0,722.0,107.30599822368634,614.6940017763136
2.0,482.0,104.00839066684568,377.9916093331543
23.0,858.0,104.48929176888495,753.510708231115
9.0,750.0,104.16869103419211,645.8313089658079
19.0,619.0,104.39769155897271,514.6023084410273
0.0,462.0,103.96259056188957,358.03740943811044
268.0,624.0,110.09980462600967,513.9001953739903
195.0,329.0,108.42810079511129,220.57189920488872
92.0,837.0,106.0693953898711,730.9306046101289
26.0,415.0,104.55799192631913,310.4420080736809
680.0,326.0,119.53462624697043,206.46537375302955
538.0,557.0,116.2828187950859,440.7171812049141
56.0,319.0,105.24499350066094,213.75500649933906
66.0,349.0,105.47399402544154,243.52600597455847
24.0,333.0,104.51219182136302,228.48780817863698
66.0,970.0,105.47399402544154,864.5260059745584
10.0,302.0,104.19159108667017,197.80840891332983
3.0,323.0,104.03129071932375,218.96870928067625
25.0,324.0,104.53509187384107,219.46490812615895
4.225,521.0,104.05934328360938,416.9406567163906
1.958,494.0,104.00742886464161,389.9925711353584
14.0,381.0,104.28319129658242,276.7168087034176
141.0,322.0,107.19149796129604,214.80850203870398
74.0,455.0,105.65719444526601,349.342805554734
21.0,796.0,104.44349166392884,691.5565083360711
27.0,428.0,104.5808919787972,323.4191080212028
271.0,356.0,110.16850478344385,245.83149521655616
17.0,305.0,104.3518914540166,200.6481085459834
0.0,392.0,103.96259056188957,288.03740943811044
107.0,346.0,106.412896177042,239.587103822958
6.0,422.0,104.09999087675793,317.90000912324206
132.0,778.0,106.9853974889935,671.0146025110065
63.0,839.0,105.40529386800736,733.5947061319927
0.0,348.0,103.96259056188957,244.03740943811044
30.0,396.0,104.64959213623138,291.3504078637686
42.0,874.0,104.9243927659681,769.0756072340318
14.0,796.0,104.28319129658242,691.7168087034175
0.0,424.0,103.96259056188957,320.03740943811044
15.0,310.0,104.30609134906047,205.69390865093953
0.0,569.0,103.96259056188957,465.03740943811044
1.271,401.0,103.99169652858919,297.00830347141084
3.0,340.0,104.03129071932375,235.96870928067625
1.0,376.0,103.98549061436763,272.0145093856324
0.0,867.0,103.96259056188957,763.0374094381104
